,loanId,loanStatus,loanStatusText,intRate,loanClass,remainingPaymentsCount,subType,subTypeText,holdingAmount,loanTotalTerms,loanPaidTerms,appAmount,classification,todayData
252,6307882,CURRENT,本期偿清,0.1013,A3,23,LIFE_INSURANCE,,273.38,36,13,137698.3,PERSONAL,False
253,6318934,CURRENT,本期偿清,0.1013,A3,22,LIFE_INSURANCE,,288.36,36,14,149737.5,PERSONAL,False
254,6310457,DEFAULTED,坏账,0.1013,A3,35,LIFE_INSURANCE,,358.2,36,1,93943.7,PERSONAL,False
255,6307846,CURRENT,本期偿清,0.1091,A4,22,LIFE_INSURANCE,,289.56,36,14,148867.5,PERSONAL,False
256,6317750,DEFAULTED,坏账,0.1013,A3,30,LIFE_INSURANCE,,358.2,36,6,100378.2,PERSONAL,False
257,6318524,CURRENT,本期偿清,0.1091,A4,22,OUTSTANDING,,289.6,36,14,99989.56,PERSONAL,False
258,6313545,CURRENT,本期偿清,0.1013,A3,22,LIFE_INSURANCE,,288.4,36,14,149280.4,PERSONAL,False
259,6313926,CURRENT,本期偿清,0.1013,A3,22,OUTSTANDING,,288.39,36,14,148802.94,PERSONAL,False
260,6313282,GRACE_CURRENT,宽限期中,0.1013,A3,23,LIFE_INSURANCE,,300.26,36,13,149280.4,PERSONAL,False
261,6313007,DEFAULTED,坏账,0.1091,A4,30,LIFE_INSURANCE,,359.06,36,6,137217,PERSONAL,False
262,6309836,DEFAULTED,坏账,0.1091,A4,29,LIFE_INSURANCE,,359.06,36,7,91909.5,PERSONAL,False
